@evankaosmak @timandsid @SNCaroline You Ladies look gorgeous and from what I can see you got better moves then Elai… https://t.co/tpbIACvDrL,FALSE,0,evankaosmak,4/11/19 6:39,TRUE,1.12E+18,1.12E+18,128563125,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",kareemslick,0,FALSE,FALSE,NA,NA,,
"Shop now: https://t.co/XK7n8zmch4… https://t.co/xbPRklpfTk""",FALSE,0,NA,4/11/19 6:37,TRUE,NA,1.12E+18,NA,"<a href=\http://www.dealfinder.info\"" rel=\""nofollow\"">DealFinder App</a>""",SonsOfHockey,0,FALSE,FALSE,NA,NA,,
Great game by the @SanJoseSharks tonight! Hope it’s a sign of things to come!! #nhl #NHLPlayoffs #SJSharks #hockey,FALSE,0,NA,4/11/19 6:37,FALSE,NA,1.12E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KalensTake,0,FALSE,FALSE,NA,NA,,
"@AnnCoulter Nothing compares to Overtime in the #NHL #Stanley Cup Playoffs, nothing -  the #NFL depends on a CoIn F… https://t.co/STitOMCDzD",FALSE,0,AnnCoulter,4/11/19 6:34,TRUE,1.12E+18,1.12E+18,196168350,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",NFLMcHollington,0,FALSE,FALSE,NA,NA,,
Not bad for playoff hockey #nhl #dfs #hockey #DraftKings #FantasyHockey https://t.co/C5FpWRTtBR,FALSE,0,NA,4/11/19 6:27,FALSE,NA,1.12E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",rahmanisayev,0,FALSE,FALSE,NA,NA,,
Woke up this morning and realised the thing I've been waiting for for 6 months has finally happened...… https://t.co/SwKn4L70kd,FALSE,2,NA,4/11/19 6:17,TRUE,NA,1.12E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",ClareFreeman_,0,FALSE,FALSE,NA,NA,,
Good luck charm! Game 2 Friday!!! #sjsharks #toddhoffman #BAHR #art #custom #tshirt #nhl #playoffs @ SAP Center https://t.co/NPWB0uMuKu,FALSE,0,NA,4/11/19 6:13,FALSE,NA,1.12E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",hockeyrepair,0,FALSE,FALSE,-121.9012259,37.33262515,,
"By the way, let the hockey beards commence! Who's got the best facial moss? #HockeyPlayoffsAreAmazing
@NHL #FearTheBeards #NHLPlayoffs #NHL",FALSE,0,NA,4/11/19 6:12,FALSE,NA,1.12E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",recchia_nick,0,FALSE,FALSE,NA,NA,,
"\#CFL News: #CFL teams send good luck to #NHL brothers - #CFL.ca\"": https://t.co/cgEwq7z8wv""",FALSE,0,NA,4/11/19 6:12,FALSE,NA,1.12E+18,NA,"<a href=\http://www.robinspost.com\"" rel=\""nofollow\"">RobinsPost Retweets</a>""",robinsportsnews,0,FALSE,FALSE,NA,NA,,
🚨Hot Take 🚨The NHL draft lottery would be infinitely more interesting if they announced who was picking... and then… https://t.co/7SMyg5nucb,FALSE,1,NA,4/11/19 6:10,TRUE,NA,1.12E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",theLUCASTDS,0,FALSE,FALSE,NA,NA,,
